dataset,HNs,HEs,pins,avgHEsize,sdHEsize,sd/avg,minHEsize,maxHEsize,avgHNdegree,sdHNdegree,minHnDegree,maxHnDegree,best_matching_pattern,best_merging_pattern,best_construction_pattern
sat_dated_11,283720,629461,1429872,2.27158,0.935452,0.41180676,1,10,5.03973,3.08126,1,13,P3,P1,P3
sat_dated_11_p,141860,629461,1429872,2.27158,0.935452,0.41180676,1,10,10.0795,4.95501,2,26,P1,P1,P3
sat_dated_17_d,1070757,229544,2471122,10.7654,6.78985,0.630710424,2,38,2.30783,0.920471,1,10,P3,P1,P3
sat_dated_17,459088,1070757,2471122,2.30783,0.920471,0.398846969,1,10,5.38268,3.85107,1,19,P3,P1,P3
sat_dated_17_p,229544,1070757,2471122,2.30783,0.920471,0.398846969,1,10,10.7654,6.78985,2,38,P3,P1,P3
sat_E02F20_d,395383,10420,2821910,270.817,1058.83,3.909761943,3,6360,7.13716,4.24121,1,66,P3,P3,P2b
sat_E02F20,20840,395383,2821910,7.13716,4.24121,0.594243369,1,66,135.408,755.644,1,6317,P1,P1,P3
sat_E02F20_p,10420,395383,2821910,7.13716,4.24121,0.594243369,1,66,270.817,1058.83,3,6360,P1,P1,P3
sat_E02F22_d,1301188,13574,11462079,844.414,3500.84,4.145881049,3,20486,8.80893,5.71442,1,78,P3,P3,P2b
sat_E02F22,27148,1301188,11462079,8.80893,5.71442,0.648707618,1,78,422.207,2505.25,1,20439,P1,P1,P3
sat_E02F22_p,13574,1301188,11462079,8.80893,5.71442,0.648707618,1,78,844.414,3500.84,3,20486,P1,P1,P3
sat_gss-18_d,94269,31364,222003,7.07827,6.49522,0.917628178,3,78,2.35499,0.479928,1,3,P1,P3,P3
sat_gss-18,62728,94269,222003,2.35499,0.479928,0.203791948,1,3,3.53914,3.28368,1,39,P3,P3,P2
sat_gss-18_p,31364,94269,222003,2.35499,0.479928,0.203791948,1,3,7.07827,6.49522,3,78,P1,P1,P2
sat_gss-19_d,94548,31435,222806,7.08783,6.51576,0.919288414,3,111,2.35654,0.480388,1,3,P3,P1,P3
sat_gss-19,62870,94548,222806,2.35654,0.480388,0.203853107,1,3,3.54392,3.29381,1,56,P3,P1,P2
sat_gss-19_p,31435,94548,222806,2.35654,0.480388,0.203853107,1,3,7.08783,6.51576,3,111,P1,P1,P2
sat_gss-20_d,94748,31503,223300,7.08821,6.48696,0.915176046,3,78,2.35678,0.480456,1,3,P3,P1,P3
