id,dataset,total_hyperedges,k=2,k=3,k=4,
79,sat_enc1_opt2_16_d,152744,428,981,971,
80,sat_enc1_opt2_16,18930,424,801,770,
81,sat_enc1_opt2_16_p,9643,706,1181,1741,
82,sat_enc2_opt1_05_d,526872,2170,3741,4468,
83,sat_enc2_opt1_05,112732,2561,5379,5849,
84,sat_enc2_opt1_05_p,56533,3304,6134,7557,
85,sat_enc2_opt1_15_d,580963,2301,2871,4760,
86,sat_enc2_opt1_15,117116,2376,4355,4998,
87,sat_enc2_opt1_15_p,58752,3062,6802,7458,
88,sat_enc3_opt1_50_d,6429816,6873,17096,25908,
89,sat_enc3_opt1_50,3226318,20972,13554,27642,
90,sat_enc3_opt1_50_p,1613160,50787,94382,106454,
91,sat_enc3_opt2_21_d,5933456,8217,19610,17121,
92,sat_enc3_opt2_21,2968120,908,2684,6226,
93,sat_enc3_opt2_21_p,1484061,24338,31952,57318,
94,sat_enc3_opt2_12_d,4932603,5139,12800,20898,
95,sat_enc3_opt2_12,2472540,1425,4409,4806,
96,sat_enc3_opt2_12_p,1236271,35695,28090,36572,
97,sat_enc3_opt2_14_d,4950217,5156,14576,19377,
98,sat_enc3_opt2_14,2481354,1884,7393,7469,
99,sat_enc3_opt2_14_p,1240678,12718,20810,23220,
100,sat_blocks_d,10223027,4110,7508,17801,
101,sat_blocks,1119142,19987,43348,51139,
102,sat_blocks_p,559571,21169,73094,71747,
103,sat_bob-opt_d,152446,142,1259,1136,
104,sat_bob-opt,102288,334,1803,2312,
105,sat_bob-opt_p,51144,558,1624,3074,
106,sat_bob_d,77920,1070,1665,2025,
107,sat_bob,52588,2719,3787,5225,
108,sat_bob_p,26294,3098,4929,5363,
109,sat_c10_d,398467,2457,5382,5574,
110,sat_c10,267996,9756,14372,27563,
111,sat_c10_p,133998,20686,21820,29584,
112,sat_count_d,55724,175,317,689,
113,sat_count,37213,1131,1012,2245,
114,sat_count_p,18607,1231,2234,2229,
115,sat_ctl_d,90812,1596,1080,4502,
116,sat_ctl,17612,141,605,2947,
117,sat_ctl_p,8806,170,248,16083,
118,sat_ctl_5_d,134756,3694,7385,7526,
119,sat_ctl_5,30464,5096,14165,11505,
120,sat_ctl_5_p,15232,6075,14200,15012,
121,sat_dated_11_d,629461,3526,7779,8222,
122,sat_dated_11,283720,11485,17421,18862,
123,sat_dated_11_p,141860,16534,22190,25899,
124,sat_dated_17_d,1070757,7233,11045,14555,
125,sat_dated_17,459088,20591,26288,29654,
126,sat_dated_17_p,229544,27142,32739,41391,
127,sat_E02F20_d,395383,1494,2030,2368,
128,sat_E02F20,20840,190,5073,9403,
129,sat_E02F20_p,10420,550,7018,12695,
130,sat_E02F22_d,1301188,1863,2864,3160,
131,sat_E02F22,27148,231,6956,14437,
132,sat_E02F22_p,13574,416,14636,18557,
133,sat_gss-18_d,94269,547,646,993,
134,sat_gss-18,62728,2155,3286,3479,
135,sat_gss-18_p,31364,3051,4744,5337,
136,sat_gss-19_d,94548,601,810,1073,
137,sat_gss-19,62870,1959,3130,3956,
138,sat_gss-19_p,31435,2221,3185,4061,
139,sat_gss-20_d,94748,548,802,978,
140,sat_gss-20,63006,1787,3100,3980,
141,sat_gss-20_p,31503,2083,3384,3453,
142,sat_gss-22_d,95110,495,755,753,
143,sat_gss-22,63232,1883,2891,3982,
144,sat_gss-22_p,31616,2284,3600,3843,
145,sat_k45_d,488120,183,945,1094,
146,sat_k45,327243,356,1052,1508,
147,sat_k45_p,163622,1036,1778,1789,
148,sat_itox_d,441729,2247,2217,2738,
149,sat_itox,294326,1812,4178,6292,
150,sat_itox_p,152256,254,10597,2831,
151,sat_k2fix_d,305160,5835,10642,15553,
152,sat_k2fix,22617,0,40,197,
153,sat_k2fix_p,11313,1665,3941,8398,
154,sat_manol_c10_i_d,750877,3188,7028,6923,
155,sat_manol_c10_i,505032,18083,19191,38875,
156,sat_manol_c10_i_p,252516,15886,20963,23656,
157,sat_manol_c10_d,1291714,12947,10989,20809,
158,sat_manol_c10,867202,23628,51400,52297,
159,sat_manol_c10_p,433601,18723,30595,37810,
160,sat_manol_c8_d,799867,5203,8054,11666,
161,sat_manol_c8,538096,19702,29123,37283,
162,sat_manol_c8_p,269048,14247,23696,32742,
163,sat_manol_g10_i_d,792175,4467,7994,9522,
164,sat_manol_g10_i,532810,14647,18216,23140,
165,sat_manol_g10_i_p,266405,15003,20816,29577,
166,sat_MD5-28-1_d,62558,1200,2059,2436,
167,sat_MD5-28-1,16564,4322,7832,9228,
