id,dataset,k=2,k=3,k=4,
221,sat_k70,4.029,7.158,8.931,
222,sat_k70_p,3.185,5.644,8.974,
223,sat_k75_d,2.343,4.116,5.498,
224,sat_k75,4.204,7.546,9.498,
225,sat_k75_p,3.459,5.798,7.788,
226,sat_k80_d,2.444,4.313,5.973,
227,sat_k80,4.575,7.777,10.142,
228,sat_k80_p,3.644,6.518,8.49,
229,sat_k85_2d,2.669,4.808,6.261,
230,sat_k85_2,4.774,7.958,10.685,
231,sat_k85_2p,3.767,6.907,8.774,
232,sat_k85_3d,2.671,4.762,6.305,
233,sat_k85_3,4.788,8.01,10.786,
234,sat_k85_3p,3.817,6.911,8.75,
235,sat_k90_d,2.818,5.096,6.685,
236,sat_k90,5.047,8.811,11.403,
237,sat_k90_p,4.076,7.35,9.415,
238,sat_k95_d,2.965,5.445,10.102,
239,sat_k95,5.359,8.961,12.565,
240,sat_k95_p,4.279,7.932,9.863,
241,sat_slp_d,0.246,0.49,0.583,
242,sat_slp,0.528,1.143,1.167,
243,sat_slp_p,0.771,0.713,1.493,
244,sat_030_d,1.223,1.952,2.624,
245,sat_030,2.747,5.709,5.812,
246,sat_030_p,3.371,4.937,7.027,
247,sat_050_d,1.736,2.952,4.945,
248,sat_050,4.013,8.125,9.961,
249,sat_050_p,3.341,6.762,8.267,
250,sat_UCG-10p0_d,0.527,1.158,1.456,
251,sat_UCG-10p0,1.067,1.817,2.24,
252,sat_UCG-10p0_p,1.139,1.879,2.21,
253,sat_UCG-10p1_d,0.508,1.016,1.63,
254,sat_UCG-10p1,1.045,1.598,2.248,
255,sat_UCG-10p1_p,1.021,1.87,2.14,
256,sat_UCG-5p0_d,0.602,1.005,1.667,
257,sat_UCG-5p0,1.364,2.316,2.681,
258,sat_UCG-5p0_p,1.368,2.154,2.61,
259,sat_UR-15_d,0.534,0.979,1.267,
260,sat_UR-15,1.212,2.326,2.45,
261,sat_UR-15_p,1.361,2.167,2.637,
262,sat_UR-20_d,0.623,1.132,1.609,
263,sat_UR-20,1.446,2.33,3.023,
264,sat_UR-20_p,1.5,2.512,2.837,
265,sat_UTI_d,0.776,1.363,1.834,
266,sat_UTI,1.265,2.201,2.867,
267,sat_UTI_p,1.249,2.044,2.759,
268,sat_2.0_d,1.068,2.052,4.069,
269,sat_2.0,4.494,9.771,10.67,
270,sat_2.0_p,3.42,5.721,7.383,
271,sat_4.0-9_d,0.894,1.435,5.364,
272,sat_4.0-9,3.925,7.103,6.674,
273,sat_4.0-9_p,3.655,5.641,7.469,
274,192bit,0.129,0.091,0.17,
275,2cubes,0.203,0.362,0.412,
276,2D,0.062,0.138,0.188,
277,3D,0.69,1.391,1.397,
278,ABACUS,0.036,0.074,0.084,
279,af23560,0.035,0.059,0.082,
280,af_shell,0.581,1.106,1.41,
281,airfoil,0.021,0.049,0.073,
282,Andrews,0.128,0.221,0.344,
283,appu,0.087,0.094,0.154,
284,as-22,0.074,0.101,0.166,
285,astro,0.211,0.163,0.315,
286,atmos,3.17,4.758,6.259,
287,av41092,0.126,0.215,0.229,
288,barrier,0.233,0.379,0.532,
289,Baumann,0.183,0.299,0.512,
290,bayer04,0.025,0.046,0.068,
291,bbmat,0.07,0.141,0.174,
292,bcsstk,0.022,0.058,0.093,
293,Ben,0.33,0.562,0.811,
294,bibd,0.011,0.042,0.039,
295,bips,0.031,0.05,0.068,
296,bloweya,0.122,0.204,0.229,
297,bundle,0.025,0.057,0.06,
298,c-55,0.147,0.199,0.288,
299,c-61,0.054,0.113,0.201,
300,c-64,0.084,0.183,0.448,
301,CondMat,0.2,0.257,0.269,
302,cage10,0.071,0.095,0.117,
303,ccc,0.053,0.136,0.187,
304,cfd,0.117,0.231,0.294,
305,Chem97Zt,0.004,0.017,0.013,
306,circuit,0.064,0.117,0.212,
307,ckt,0.075,0.144,0.204,
308,cnr,0.181,0.393,0.576,
309,conf5_4,0.087,0.159,0.218,
310,copter,0.029,0.046,0.099,
311,coupled,0.022,0.068,0.077,
312,crash,0.265,0.574,0.557,
313,cryg,0.018,0.052,0.05,
314,crystk,0.024,0.056,0.066,
315,d_pretok,0.261,0.457,0.7,
316,dac11,0.936,1.731,2.246,
317,dac14,0.66,1.55,1.758,
318,dac16,0.886,1.486,1.773,
319,dac2,1.235,2.231,2.728,
320,dac3,1.206,2.131,2.45,
321,dac6,1.207,2.12,3.046,
322,dac7,1.352,2.392,3.294,
323,delta,0.116,0.176,0.256,
324,denormal,0.119,0.198,0.265,
325,dict,0.08,0.33,0.422,
326,diel,1.174,2.232,2.979,
327,cova2,0.067,0.12,0.221,
328,ecl32,0.18,0.213,0.296,
329,Emilia,2.099,3.422,4.523,
330,epb1,0.022,0.04,0.077,
331,ESOC,0.61,2.535,1.067,
332,Eternity,0.081,0.45,0.974,
333,ex19,0.015,0.036,0.056,
334,F2,0.132,0.223,0.323,
335,fd18,0.105,0.127,0.148,
336,fem,0.117,0.206,0.303,
337,finan,0.08,0.136,0.186,
338,flower,0.089,0.29,0.323,
339,foldoc,0.142,0.203,0.247,
340,Franz,0.241,0.379,0.342,
341,G2,0.406,0.666,0.747,
342,g7jac,0.024,0.053,0.077,
343,garon,0.02,0.044,0.133,
344,gearbox,0.301,0.434,0.595,
345,gemat,0.037,0.03,0.05,
346,graphics,0.039,0.069,0.131,
347,gyro,0.023,0.049,0.096,
348,H2O,0.172,0.331,0.394,
349,HEP,0.384,0.28,0.456,
350,HTC,0.203,0.376,0.52,
351,hvdc1,0.023,0.043,0.083,
352,IG5,0.068,0.165,0.381,
353,Ill,0.047,0.088,0.12,
354,interp,0.203,0.366,0.494,
355,IMDB,2.617,2.58,3.802,
356,ibm01,0.031,0.065,0.09,
357,ibm02,0.08,0.074,0.199,
358,ibm03,0.048,0.108,0.116,
