id,dataset,k=2,k=3,k=4,
76,sat_enc1_opt2_12_d,0.063,0.096,0.143,
77,sat_enc1_opt2_12,0.121,0.168,0.268,
78,sat_enc1_opt2_12_p,0.094,0.156,0.271,
79,sat_enc1_opt2_16_d,0.054,0.12,0.138,
80,sat_enc1_opt2_16,0.083,0.177,0.201,
81,sat_enc1_opt2_16_p,0.093,0.157,0.232,
82,sat_enc2_opt1_05_d,0.223,0.359,0.93,
83,sat_enc2_opt1_05,0.365,0.529,0.805,
84,sat_enc2_opt1_05_p,0.36,0.629,0.714,
85,sat_enc2_opt1_15_d,0.211,0.396,0.456,
86,sat_enc2_opt1_15,0.35,0.617,0.829,
87,sat_enc2_opt1_15_p,0.298,0.511,0.718,
88,sat_enc3_opt1_50_d,2.055,4.016,4.463,
89,sat_enc3_opt1_50,3.869,6.127,7.448,
90,sat_enc3_opt1_50_p,4.422,7.541,9.794,
91,sat_enc3_opt2_21_d,1.911,3.107,3.725,
