id,dataset,k=2,k=3,k=4,
312,crash,0.0153807,0.0282744,0.0385989,
313,cryg,0.00496374,0.0131294,0.0152196,
314,crystk,0.00442824,0.00957103,0.012457,
315,d_pretok,0.014312,0.0278582,0.0407546,
316,dac11,0.0524987,0.112958,0.153619,
317,dac14,0.0426992,0.0870306,0.114859,
318,dac16,0.0544689,0.0824126,0.101799,
319,dac2,0.0561882,0.117251,0.14067,
320,dac3,0.059479,0.108349,0.123775,
321,dac6,0.0641884,0.105346,0.156911,
322,dac7,0.058882,0.133626,0.172948,
323,delta,0.00761213,0.017117,0.0248835,
324,denormal,0.0108402,0.0201013,0.0278929,
325,dict,0.00668142,0.0567553,0.0465531,
326,diel,0.0581772,0.104536,0.130062,
327,cova2,0.00807222,0.0159193,0.0261217,
328,ecl32,0.0202897,0.0174745,0.037538,
329,Emilia,0.08361,0.144627,0.20996,
330,epb1,0.00624541,0.0139448,0.0207212,
331,ESOC,0.0328203,0.124613,0.059923,
332,Eternity,0.00867802,0.0328713,0.236929,
333,ex19,0.00224877,0.00852809,0.00977849,
334,F2,0.0129679,0.0231627,0.0343885,
335,fd18,0.0186347,0.0218649,0.0282314,
336,fem,0.0122603,0.0309933,0.0345055,
337,finan,0.00883991,0.014574,0.0246839,
338,flower,0.0132163,0.0254054,0.0528776,
339,foldoc,0.0131091,0.0310716,0.0263929,
340,Franz,0.0157203,0.042212,0.0308992,
341,G2,0.0233816,0.0483287,0.0562934,
342,g7jac,0.0056081,0.0123997,0.0167433,
343,garon,0.00425735,0.0127064,0.013896,
344,gearbox,0.0200048,0.0383502,0.0520609,
345,gemat,0.0076187,0.00875601,0.0124944,
346,graphics,0.00731265,0.0135373,0.0208902,
347,gyro,0.0039312,0.00768244,0.0193342,
348,H2O,0.017423,0.0365426,0.0386072,
349,HEP,0.0143572,0.0617734,0.027322,
350,HTC,0.0247656,0.0391443,0.0509542,
351,hvdc1,0.00494181,0.0106279,0.0172907,
352,IG5,0.00597586,0.0369519,0.0591543,
353,Ill,0.00648131,0.0128459,0.0189495,
354,interp,0.0136935,0.0289255,0.0529445,
355,IMDB,0.17284,0.319983,0.233295,
356,ibm01,0.00859182,0.0125104,0.0179324,
357,ibm02,0.0102782,0.0118546,0.0237367,
358,ibm03,0.00824663,0.0154825,0.0206467,
359,ibm04,0.0091352,0.0139984,0.0228233,
360,ibm05,0.00924867,0.0195079,0.0450054,
361,ibm06,0.00957343,0.0223847,0.0240622,
362,ibm07,0.00957299,0.0161297,0.0309957,
363,ibm08,0.0107873,0.0183893,0.0362845,
364,ibm09,0.0108134,0.0171319,0.0304619,
365,ibm10,0.0140937,0.0164971,0.0339024,
366,ibm11,0.0114894,0.0205794,0.0277445,
367,ibm12,0.0120137,0.0280807,0.0286592,
368,ibm13,0.014091,0.0236755,0.0362086,
369,ibm14,0.018054,0.0263311,0.0406101,
370,ibm15,0.0205246,0.0354041,0.0467932,
371,ibm16,0.0117856,0.0251983,0.0355302,
372,kim1,0.00720873,0.0149951,0.0179551,
373,kkt,0.101838,0.195713,0.31785,
374,duct3D,0.0114967,0.0206884,0.0342783,
375,lhr14,0.00300042,0.00687956,0.0109032,
376,li,0.0082351,0.013404,0.0261301,
377,tissue,0.00518691,0.0141237,0.0178413,
378,Lin,0.0258122,0.0420661,0.067862,
379,lp_nug,0.0137028,0.0146187,0.0237834,
380,lp_pds,0.0207539,0.0551339,0.0378566,
381,lung,0.00517297,0.00875704,0.0154454,
382,m14b,0.0178889,0.0391038,0.0498083,
383,mac,0.0151991,0.0295868,0.040316,
384,Maragal,0.0164178,0.0156692,0.0270414,
385,mc2depi,0.0212528,0.0415496,0.0639837,
386,mixtank,0.00661295,0.0152753,0.0249957,
387,mono,0.0216463,0.0439709,0.0746678,
388,mri1,0.00961427,0.0192883,0.0257709,
389,msc,0.00599125,0.00846674,0.0134495,
390,msdoor,0.0307425,0.0639538,0.0929811,
391,mult_dcop,0.0247313,0.0362375,0.0534245,
392,nasasrb,0.0143223,0.0275619,0.0403597,
393,nd12k,0.0261114,0.0370077,0.0509137,
394,net100,0.0111702,0.0317031,0.0354031,
395,nopoly,0.00635359,0.00827669,0.0144308,
396,actors,0.0289372,0.0448379,0.0549343,
397,www,0.00613198,0.0175598,0.217959,
398,obstclae,0.00591049,0.0157839,0.0247486,
399,olafu,0.00472961,0.0111437,0.016799,
400,opt1,0.00653107,0.0116781,0.0227326,
401,Oregon,0.0126332,0.017839,0.0321178,
402,p2p,0.0193974,0.0203954,0.0511665,
403,para,0.0236998,0.061468,0.0509056,
404,parabolic,0.0196521,0.0438455,0.0619649,
405,Pd,0.0203891,0.0384622,0.0428164,
406,pdb,0.0106961,0.0230298,0.0268132,
407,pds,0.0166068,0.0263756,0.0483859,
408,pesa,0.00819259,0.0122479,0.0188614,
409,PGP,0.00614051,0.0161024,0.014615,
410,pkustk,0.0107334,0.0234254,0.0325086,
411,poisson3D,0.016538,0.02678,0.0347296,
412,poli3,0.00495353,0.00862985,0.0121159,
413,powersim,0.00447977,0.00808066,0.0124698,
414,pre2,0.0374379,0.0601764,0.0850188,
415,Pres,0.00411857,0.0079808,0.0124931,
416,psse2,0.00574258,0.0120015,0.0158513,
417,qa8fk,0.0123725,0.0234087,0.0377194,
418,rajat,0.0261777,0.0206179,0.0419548,
419,Reuters,0.013648,0.0307381,0.033421,
420,RFdevice,0.0133085,0.0237796,0.0345358,
421,rgg,0.015925,0.0276192,0.0428496,
422,rim,0.00487205,0.0112203,0.027894,
423,rma,0.00902069,0.0198823,0.0241176,
424,Rucci,0.0640843,0.147221,0.153206,
425,s4dkt,0.0176316,0.0273937,0.0332739,
426,scfxm,0.0114394,0.0135544,0.0209767,
427,scircuit,0.0131887,0.0264046,0.0376104,
428,shallow,0.00887776,0.0203833,0.0331938,
429,sherman,0.0286834,0.0258004,0.0437732,
430,ship,0.00914613,0.0166506,0.0246063,
431,shock,0.0135737,0.0268174,0.0389582,
432,shyy,0.00955744,0.0197138,0.0329064,
433,skirt,0.00508686,0.0104988,0.0133995,
434,sme3D,0.00742947,0.0222469,0.0224052,
435,soc-sign,0.256875,0.0344585,0.507907,
436,sparsine,0.0112666,0.0241737,0.0419936,
437,spmsrtls,0.0086804,0.0152919,0.0184185,
438,std1_Jac3,0.00852265,0.0179451,0.028008,
439,stokes,0.00801406,0.0163147,0.0279361,
440,ted_A,0.00356933,0.00616336,0.00994512,
441,TF16,0.00772204,0.0179631,0.0374101,
442,thermal,0.00939403,0.015316,0.0265039,
443,therm,0.010853,0.0204375,0.0333437,
444,tmt,0.0379631,0.078672,0.0958772,
445,tomogra,0.00769285,0.0203737,0.033284,
446,torso,0.0244315,0.0380607,0.0601576,
447,Trec,0.00685255,0.00685255,0.00685255,
448,Trefe,0.011148,0.0231335,0.0203256,
449,TSOPF,0.00807426,0.0219093,0.0194051,
450,us04,0.00431051,0.0288037,0.0546309,
451,usroads,0.0112584,0.0210084,0.0292545,
452,venkat,0.00875753,0.0158715,0.0214813,
453,vibro,0.0103051,0.0173745,0.0182227,
454,plastic,0.00863485,0.0161601,0.0235297,
455,rocks,0.00689153,0.0155047,0.0252346,
456,wave3D,0.00779534,0.0128044,0.0224717,
457,wathen120,0.00682973,0.0150251,0.0228249,
458,water,0.0125667,0.0175883,0.0371584,
459,wang4,0.0103845,0.0213841,0.0231407,
460,xenon,0.0160837,0.0310008,0.0422475,
461,Zhao,0.00786239,0.0175811,0.0236526,
462,G67,0.00609765,0.0172511,0.019512,
463,af101,0.0826491,0.12817,0.150169,
464,eco1,0.0465171,0.0881454,0.115796,
