id,dataset,k=2,k=3,k=4,
45,sat_bug8_p,3.551,5.203,6.105,
46,sat_aaai_d,0.315,0.186,0.197,
47,sat_aaai,0.130,0.179,0.173,
48,sat_aaai_p,0.119,0.139,0.154,
49,sat_ACG_10p_d,0.505,0.537,0.540,
50,sat_ACG_10p,0.518,0.545,0.539,
51,sat_ACG_10p_p,0.376,0.389,0.406,
52,sat_ACG_5p0_d,0.438,0.466,0.470,
53,sat_ACG_5p0,0.437,0.461,0.475,
54,sat_ACG_5p0_p,0.371,0.345,0.381,
55,sat_ACG_5p1_d,0.456,0.485,0.477,
56,sat_ACG_5p1,0.460,0.484,0.483,
57,sat_ACG_5p1_p,0.345,0.355,0.366,
58,sat_01_d,0.036,0.040,0.044,
59,sat_01,0.043,0.056,0.064,
60,sat_01_p,0.037,0.043,0.044,
61,sat_27_d,0.033,0.043,0.055,
62,sat_27,0.050,0.059,0.062,
63,sat_27_p,0.038,0.046,0.051,
64,sat_enc1_opt1_05_d,8.018,0.266,0.272,
65,sat_enc1_opt1_05,0.168,0.161,0.179,
66,sat_enc1_opt1_05_p,0.142,0.169,0.165,
67,sat_enc1_opt1_10_d,0.143,0.157,0.166,
68,sat_enc1_opt1_10,0.119,0.118,0.121,
69,sat_enc1_opt1_10_p,0.101,0.109,0.116,
70,sat_enc1_opt1_15_d,0.251,0.275,0.291,
71,sat_enc1_opt1_15,0.179,0.188,0.179,
72,sat_enc1_opt1_15_p,0.149,0.166,0.177,
73,sat_enc1_opt2_4_d,0.189,0.208,0.231,
74,sat_enc1_opt2_4,0.099,0.117,0.237,
75,sat_enc1_opt2_4_p,0.094,0.119,0.120,
76,sat_enc1_opt2_12_d,0.101,0.118,0.121,
77,sat_enc1_opt2_12,0.056,0.070,0.072,
78,sat_enc1_opt2_12_p,0.057,0.071,0.079,
79,sat_enc1_opt2_16_d,0.102,0.124,0.122,
80,sat_enc1_opt2_16,0.061,0.066,0.068,
81,sat_enc1_opt2_16_p,0.059,0.079,0.090,
82,sat_enc2_opt1_05_d,0.225,0.264,0.258,
83,sat_enc2_opt1_05,0.172,0.160,0.163,
84,sat_enc2_opt1_05_p,0.128,0.142,0.141,
85,sat_enc2_opt1_15_d,0.233,0.265,0.267,
86,sat_enc2_opt1_15,0.184,0.173,0.172,
87,sat_enc2_opt1_15_p,0.170,0.218,0.157,
88,sat_enc3_opt1_50_d,2.371,2.435,2.408,
89,sat_enc3_opt1_50,1.989,1.900,1.921,
90,sat_enc3_opt1_50_p,1.332,1.322,1.315,
91,sat_enc3_opt2_21_d,2.199,2.216,2.239,
92,sat_enc3_opt2_21,1.739,1.724,1.742,
