id,dataset,part2_cut,part2_time,part3_cut,part3_time,part4_cut,part4_time,
119,sat_ctl_5,4170,0.264,7493,0.494,10884,0.498,
120,sat_ctl_5_p,4170,0.172,7626,0.351,10512,0.417,
121,sat_dated_11_d,1765,0.415,2582,0.462,3015,0.482,
122,sat_dated_11,4444,0.444,6281,0.510,7435,0.521,
123,sat_dated_11_p,6027,0.367,8587,0.426,10305,0.447,
124,sat_dated_17_d,2721,0.712,3960,0.770,4593,0.807,
125,sat_dated_17,7080,0.738,9636,0.811,11140,0.816,
126,sat_dated_17_p,9759,0.606,12807,0.663,15260,0.690,
127,sat_E02F20_d,315,6.841,382,9.326,495,8.216,
128,sat_E02F20,190,0.336,6323,0.457,11338,0.587,
129,sat_E02F20_p,190,0.373,7281,1.331,9207,2.492,
130,sat_E02F22_d,335,36.743,456,57.242,581,52.072,
131,sat_E02F22,231,1.041,8281,1.359,15746,1.531,
132,sat_E02F22_p,231,0.860,11357,1.625,13797,5.742,
133,sat_gss-18_d,116,0.091,224,0.111,316,0.121,
134,sat_gss-18,1357,0.120,1868,0.156,2378,0.172,
135,sat_gss-18_p,1333,0.085,1814,0.108,2425,0.122,
136,sat_gss-19_d,113,0.092,230,0.113,263,0.122,
137,sat_gss-19,1370,0.127,2307,0.160,2726,0.176,
138,sat_gss-19_p,1372,0.088,2151,0.108,2493,0.119,
139,sat_gss-20_d,104,0.090,225,0.111,296,0.116,
140,sat_gss-20,1433,0.123,2377,0.151,2636,0.169,
141,sat_gss-20_p,1339,0.087,1922,0.111,2538,0.125,
142,sat_gss-22_d,128,0.095,188,0.111,310,0.121,
143,sat_gss-22,1420,0.118,2392,0.149,2843,0.174,
144,sat_gss-22_p,1328,0.087,2087,0.112,2685,0.122,
145,sat_k45_d,150,0.390,287,0.443,391,0.469,
146,sat_k45,304,0.415,629,0.472,909,0.500,
147,sat_k45_p,326,0.261,604,0.310,906,0.344,
148,sat_itox_d,38,0.322,247,0.355,270,0.379,
149,sat_itox,41,0.400,1227,0.518,2811,0.590,
150,sat_itox_p,16,0.264,1195,0.322,2975,0.374,
151,sat_k2fix_d,3026,0.563,4084,0.707,4329,0.724,
152,sat_k2fix,0,0.101,0,0.115,0,0.125,
153,sat_k2fix_p,3023,0.173,1309,0.247,7447,0.260,
154,sat_manol_c10_i_d,1041,0.712,1418,0.835,1759,0.836,
