id,dataset,k=2,k=3,k=4,
103,sat_bob-opt_d,0.086,0.138,0.17,
104,sat_bob-opt,0.158,0.261,0.35,
105,sat_bob-opt_p,0.17,0.249,0.314,
106,sat_bob_d,0.045,0.065,0.084,
107,sat_bob,0.098,0.148,0.191,
108,sat_bob_p,0.071,0.113,0.133,
109,sat_c10_d,0.233,0.343,0.455,
110,sat_c10,0.599,0.827,1.171,
111,sat_c10_p,0.457,0.649,0.841,
112,sat_count_d,0.03,0.046,0.059,
113,sat_count,0.069,0.115,0.13,
114,sat_count_p,0.056,0.081,0.103,
115,sat_ctl_d,0.04,0.066,0.093,
116,sat_ctl,0.132,0.238,0.282,
117,sat_ctl_p,0.149,0.268,0.294,
118,sat_ctl_5_d,0.083,0.14,0.158,
119,sat_ctl_5,0.243,0.52,0.533,
120,sat_ctl_5_p,0.3,0.478,0.546,
121,sat_dated_11_d,0.36,0.613,0.705,
122,sat_dated_11,0.624,0.925,1.164,
123,sat_dated_11_p,0.619,1.014,1.127,
124,sat_dated_17_d,0.62,1.101,1.185,
125,sat_dated_17,1.176,1.917,2.205,
126,sat_dated_17_p,1.223,1.843,2.186,
127,sat_E02F20_d,0.159,0.603,0.291,
128,sat_E02F20,0.275,0.463,0.547,
129,sat_E02F20_p,0.267,0.478,0.564,
130,sat_E02F22_d,0.941,6.147,2.672,
131,sat_E02F22,0.894,1.555,1.839,
132,sat_E02F22_p,0.899,1.67,1.847,
133,sat_gss-18_d,0.05,0.08,0.094,
134,sat_gss-18,0.113,0.177,0.219,
135,sat_gss-18_p,0.099,0.144,0.183,
136,sat_gss-19_d,0.052,0.083,0.098,
137,sat_gss-19,0.111,0.161,0.211,
138,sat_gss-19_p,0.107,0.162,0.196,
139,sat_gss-20_d,0.052,0.08,0.098,
140,sat_gss-20,0.118,0.189,0.223,
141,sat_gss-20_p,0.111,0.18,0.196,
142,sat_gss-22_d,0.052,0.082,0.098,
143,sat_gss-22,0.112,0.198,0.215,
144,sat_gss-22_p,0.111,0.161,0.203,
145,sat_k45_d,0.302,0.505,0.555,
146,sat_k45,0.478,0.781,0.944,
147,sat_k45_p,0.357,0.566,0.691,
148,sat_itox_d,0.261,0.433,0.546,
149,sat_itox,0.503,0.797,1.17,
150,sat_itox_p,0.378,0.684,0.805,
151,sat_k2fix_d,0.12,0.249,0.657,
152,sat_k2fix,0.317,0.641,0.661,
153,sat_k2fix_p,0.438,0.634,0.857,
154,sat_manol_c10_i_d,0.503,0.789,0.897,
155,sat_manol_c10_i,1.256,2.008,2.258,
156,sat_manol_c10_i_p,1.08,1.613,1.954,
