,matching,node merging,construction,total,matching %,merging %,construction %,others %,# of HEs,# of pins,avgHEdegree,nodemerging in remaining,nodemerging in coarsen,matching in remaining,coarsen %,Refine %,partition %,refine %,balance %,project %,edge cut,1-matching-merging-const-refine
nl120,0.0293273,0.0183315,0.109815,0.218722,0.134085,0.0838117,0.502077,0.280027,3542400,96845792,27.339,0.168322,0.351417,0.269288,0.740573,0.25238,0.00704765,0.204982,0.0467705,0.000627207,edgecut:163619,0.0276463
sat_p,0.0347404,0.0173346,0.168175,0.331497,0.104798,0.052292,0.507321,0.335588,13378010,39203144,2.93042,0.106138,0.307629,0.212712,0.677305,0.186216,0.136479,0.162813,0.0232341,0.00016951,edgecut:380404,0.149373
wbedu,0.0116747,0.0167166,0.0380474,0.169072,0.0690515,0.0988729,0.225037,0.607038,6920306,57156537,8.25925,0.127584,0.519719,0.089103,0.41528,0.556737,0.0279832,0.141184,0.412664,0.00288881,edgecut:10773,0.0503016
Stanf,0.0238148,0.0418012,0.733965,0.826127,0.028827,0.050599,0.888441,0.0321331,261588,2312497,8.84023,0.453562,0.630514,0.258401,0.968691,0.0301966,0.00111216,0.0277284,0.00237472,9.35E-05,edgecut:458,0.0019364
gene2,0.00733827,0.0126699,0.0305941,0.0622085,0.117963,0.203668,0.4918,0.186569,14340,18068388,1260,0.400764,0.61849,0.232118,0.821099,0.16645,0.0124511,0.0314823,0.134688,0.000279319,edgecut:13538,0.020119
Hamr3,0.00158874,0.00231782,0.0109187,0.0285912,0.0555674,0.0810678,0.381891,0.481473,1447360,5514242,3.80986,0.131155,0.457007,0.089899,0.55928,0.409363,0.0313573,0.199146,0.206496,0.00372031,edgecut:5866,0.0721108
StocF,0.00497827,0.00421011,0.0281651,0.0506197,0.0983465,0.0831714,0.556405,0.262077,1465137,21005389,14.3368,0.187494,0.391985,0.221703,0.768585,0.208565,0.0228503,0.195319,0.0109813,0.00226505,edgecut:7992,0.0535121
lang,0.0148512,0.0165002,0.136338,0.21169,0.0701556,0.0779452,0.644047,0.207853,399130,1216334,3.04746,0.218976,0.516254,0.197092,0.795029,0.199184,0.00578713,0.0353548,0.163569,0.000259701,edgecut:36457,0.0086682
kron,0.00910963,0.00994646,0.146102,0.212077,0.0429545,0.0469003,0.688912,0.221234,55321,4912469,88.7994,0.150762,0.512946,0.138078,0.780345,0.216018,0.00363678,0.0138866,0.202022,0.000109998,edgecut:23448,0.0052152
case39,0.0138755,0.0234248,0.154396,0.210246,0.0659964,0.111416,0.73436,0.0882268,40216,1042160,25.9141,0.419427,0.624621,0.248443,0.912735,0.0827037,0.00456154,0.0123342,0.0702966,7.29E-05,edgecut:21585,0.0055239
dac9,0.00877446,0.0155724,0.0344594,0.0776641,0.11298,0.20051,0.443698,0.242813,833808,2898403,3.4761,0.360433,0.618298,0.20309,0.767991,0.220979,0.0110304,0.188654,0.0313419,0.000982693,edgecut:5515,0.021833
dac12,0.00888768,0.0155858,0.0409597,0.0836156,0.106292,0.186398,0.489858,0.217452,1293436,4773600,3.69063,0.365384,0.611582,0.208358,0.794637,0.195008,0.0103548,0.138556,0.055228,0.00122427,edgecut:11652,0.022444
dac19,0.00926781,0.0127975,0.0482307,0.0977705,0.0947915,0.130893,0.493306,0.28101,511685,1713796,3.34932,0.258328,0.563629,0.187078,0.725539,0.265576,0.00888515,0.132597,0.132301,0.000677832,edgecut:3273,0.0154335
tran4,0.0588138,0.0618676,5.01239,5.14809,0.0114244,0.0120176,0.97364,0.00291805,116835,766396,6.55964,0.455902,0.511795,0.433399,0.997121,0.00244557,0.000433147,0.000539111,0.00190328,3.18E-06,edgecut:70442,0.00047243
Cheb4,0.0491156,0.0653963,1.81957,1.94288,0.0252798,0.0336595,0.936534,0.00452664,68121,5377761,78.9442,0.530356,0.569238,0.398321,0.995665,0.00385449,0.000480592,0.00137437,0.00246603,1.41E-05,edgecut:16457,0.00067221
