id,dataset,k=2,k=3,k=4,
115,sat_ctl_d,0.024,0.057,0.077,
116,sat_ctl,0.068,0.109,0.172,
117,sat_ctl_p,0.075,0.139,0.176,
118,sat_ctl_5_d,0.047,0.101,0.111,
119,sat_ctl_5,0.111,0.379,0.345,
120,sat_ctl_5_p,0.216,0.296,0.413,
121,sat_dated_11_d,0.146,0.415,0.467,
122,sat_dated_11,0.275,0.406,0.593,
123,sat_dated_11_p,0.261,0.592,0.523,
124,sat_dated_17_d,0.211,0.652,0.492,
125,sat_dated_17,0.531,0.922,1.232,
126,sat_dated_17_p,0.867,1.066,1.333,
127,sat_E02F20_d,0.066,0.465,0.195,
128,sat_E02F20,0.102,0.247,0.288,
129,sat_E02F20_p,0.102,0.238,0.298,
130,sat_E02F22_d,0.265,3.205,1.977,
131,sat_E02F22,0.328,0.687,0.991,
132,sat_E02F22_p,0.329,0.785,0.889,
133,sat_gss-18_d,0.038,0.052,0.069,
134,sat_gss-18,0.093,0.117,0.198,
135,sat_gss-18_p,0.066,0.11,0.155,
136,sat_gss-19_d,0.036,0.056,0.068,
137,sat_gss-19,0.088,0.128,0.201,
138,sat_gss-19_p,0.126,0.173,0.224,
139,sat_gss-20_d,0.036,0.063,0.074,
140,sat_gss-20,0.108,0.135,0.237,
141,sat_gss-20_p,0.093,0.156,0.168,
142,sat_gss-22_d,0.04,0.102,0.073,
143,sat_gss-22,0.079,0.173,0.172,
144,sat_gss-22_p,0.117,0.118,0.224,
145,sat_k45_d,0.166,0.251,0.325,
146,sat_k45,0.163,0.328,0.452,
147,sat_k45_p,0.133,0.252,0.344,
148,sat_itox_d,0.107,0.233,0.398,
149,sat_itox,0.221,0.388,0.767,
150,sat_itox_p,0.211,0.496,0.686,
151,sat_k2fix_d,0.074,0.15,0.391,
152,sat_k2fix,0.105,0.238,0.259,
153,sat_k2fix_p,0.238,0.317,0.523,
154,sat_manol_c10_i_d,0.179,0.332,0.377,
155,sat_manol_c10_i,0.773,1.427,1.446,
156,sat_manol_c10_i_p,0.807,0.989,1.439,
157,sat_manol_c10_d,0.454,0.691,1.107,
158,sat_manol_c10,1.61,2.298,2.788,
159,sat_manol_c10_p,1.072,1.829,2.303,
160,sat_manol_c8_d,0.161,0.364,0.499,
161,sat_manol_c8,0.468,1.084,1.369,
