id,dataset,k=2,k=3,k=4,
60,sat_01_p,0.041,0.046,0.049,
61,sat_27_d,0.038,0.057,0.042,
62,sat_27,0.048,0.058,0.066,
63,sat_27_p,0.062,0.070,0.059,
64,sat_enc1_opt1_05_d,0.199,0.230,0.233,
65,sat_enc1_opt1_05,0.121,0.126,0.137,
66,sat_enc1_opt1_05_p,0.110,0.120,0.127,
67,sat_enc1_opt1_10_d,0.129,0.133,0.147,
68,sat_enc1_opt1_10,0.089,0.103,0.102,
69,sat_enc1_opt1_10_p,0.081,0.096,0.078,
70,sat_enc1_opt1_15_d,0.231,0.254,0.265,
71,sat_enc1_opt1_15,0.136,0.148,0.150,
72,sat_enc1_opt1_15_p,0.119,0.130,0.146,
73,sat_enc1_opt2_4_d,0.175,0.183,0.203,
74,sat_enc1_opt2_4,0.071,0.079,0.080,
75,sat_enc1_opt2_4_p,0.073,0.088,0.094,
76,sat_enc1_opt2_12_d,0.105,0.111,0.112,
77,sat_enc1_opt2_12,0.048,0.065,0.049,
78,sat_enc1_opt2_12_p,0.048,0.065,0.069,
79,sat_enc1_opt2_16_d,0.095,0.111,0.108,
80,sat_enc1_opt2_16,0.058,0.059,0.068,
81,sat_enc1_opt2_16_p,0.049,0.072,0.081,
82,sat_enc2_opt1_05_d,0.192,0.237,0.230,
83,sat_enc2_opt1_05,0.117,0.130,0.132,
84,sat_enc2_opt1_05_p,0.098,0.112,0.116,
85,sat_enc2_opt1_15_d,0.210,0.235,0.263,
86,sat_enc2_opt1_15,0.123,0.138,0.142,
87,sat_enc2_opt1_15_p,0.107,0.126,0.128,
88,sat_enc3_opt1_50_d,3.459,3.471,3.480,
89,sat_enc3_opt1_50,2.649,2.652,2.666,
90,sat_enc3_opt1_50_p,1.762,1.772,1.761,
91,sat_enc3_opt2_21_d,3.173,3.208,3.218,
92,sat_enc3_opt2_21,2.424,2.443,2.442,
93,sat_enc3_opt2_21_p,1.584,1.595,1.595,
94,sat_enc3_opt2_12_d,2.596,2.605,2.615,
95,sat_enc3_opt2_12,1.936,1.948,1.952,
96,sat_enc3_opt2_12_p,1.306,1.314,1.300,
97,sat_enc3_opt2_14_d,2.602,2.620,2.615,
98,sat_enc3_opt2_14,1.944,1.959,1.958,
99,sat_enc3_opt2_14_p,1.302,1.311,1.301,
100,sat_blocks_d,3.685,3.743,3.749,
101,sat_blocks,1.934,2.012,2.021,
102,sat_blocks_p,1.718,1.751,1.791,
103,sat_bob-opt_d,0.083,0.105,0.084,
104,sat_bob-opt,0.111,0.147,0.160,
105,sat_bob-opt_p,0.091,0.109,0.119,
106,sat_bob_d,0.067,0.067,0.075,
107,sat_bob,0.087,0.105,0.114,
108,sat_bob_p,0.070,0.085,0.079,
109,sat_c10_d,0.157,0.186,0.186,
110,sat_c10,0.203,0.241,0.255,
111,sat_c10_p,0.146,0.192,0.199,
112,sat_count_d,0.049,0.040,0.035,
113,sat_count,0.060,0.060,0.072,
114,sat_count_p,0.033,0.060,0.056,
115,sat_ctl_d,0.080,0.098,0.112,
116,sat_ctl,0.050,0.079,0.085,
117,sat_ctl_p,0.071,0.077,0.115,
118,sat_ctl_5_d,0.113,0.164,0.159,
119,sat_ctl_5,0.111,0.153,0.166,
