id,dataset,part2_cut,part2_time,part3_cut,part3_time,part4_cut,part4_time,
131,sat_E02F22,timeout,123.185,timeout,504.18999999999994,14106.6,1259.023,
132,sat_E02F22_p,timeout,123.185,timeout,504.18999999999994,14829.8,455.095,
133,sat_gss-18_d,92.2,2.98,184.0,4.614,273.4,5.569,
134,sat_gss-18,831.0,2.601,1365.4,4.161,1769.0,5.742,
135,sat_gss-18_p,865.4,2.335,1412.0,3.703,1902.4,3.618,
136,sat_gss-19_d,94.2,2.869,191.60000000000002,4.893,294.8,5.137,
137,sat_gss-19,944.0,2.393,1510.8,4.625,1893.4,6.085,
138,sat_gss-19_p,977.4,1.62,1608.4,3.738,2029.6000000000001,3.969,
139,sat_gss-20_d,97.0,2.833,195.2,4.819,294.8,5.725,
140,sat_gss-20,992.2,2.348,1519.0,4.373,1998.8,5.198,
141,sat_gss-20_p,1005.8,1.7,1623.2,3.243,2109.4,3.861,
142,sat_gss-22_d,97.4,2.843,198.60000000000002,4.776,294.0,5.977,
143,sat_gss-22,1018.2,2.907,1630.0,4.298,2020.0,5.634,
144,sat_gss-22_p,1045.0,1.593,1650.4,3.025,2136.0,3.756,
145,sat_k45_d,116.0,8.256,216.8,21.349,343.4,24.094,
146,sat_k45,316.0,20.823,636.6,32.876,977.1999999999999,33.168,
147,sat_k45_p,382.4,6.846,750.2,26.413,1304.2,17.417,
148,sat_itox_d,145.2,10.303,516.5999999999999,13.128,439.0,17.972,
149,sat_itox,28.0,15.747,1281.4,22.34,2060.0,40.986,
150,sat_itox_p,23.6,7.513,1256.2,11.434,2059.0,12.986,
151,sat_k2fix_d,4774.6,12.74,7606.200000000001,46.294,10015.2,39.538,
152,sat_k2fix,0.0,5.945,0.0,9.234,0.0,11.476,
153,sat_k2fix_p,1297.0,5.312,2512.0,8.15,4840.799999999999,11.295,
154,sat_manol_c10_i_d,2316.8,25.379,4293.0,43.952,4849.2,42.672,
155,sat_manol_c10_i,5828.2,74.071,10192.6,205.535,14597.2,107.707,
156,sat_manol_c10_i_p,7234.2,29.418,9085.599999999999,61.321,15169.8,78.562,
157,sat_manol_c10_d,3071.6,35.308,6325.8,77.173,7255.799999999999,103.717,
158,sat_manol_c10,timeout,123.185,14111.599999999999,300.654,18325.2,344.904,
159,sat_manol_c10_p,9107.8,60.038,12652.6,153.138,21868.2,139.792,
160,sat_manol_c8_d,1839.0,21.825,4261.0,37.312,4837.2,52.995,
161,sat_manol_c8,6291.0,70.932,11381.2,168.973,14422.4,119.841,
162,sat_manol_c8_p,6968.6,39.593,10463.8,75.494,14573.599999999999,95.572,
163,sat_manol_g10_i_d,2199.2,20.454,4356.4,44.17,5405.8,53.556,
164,sat_manol_g10_i,5810.6,121.321,10751.0,154.396,11917.8,164.398,
165,sat_manol_g10_i_p,6213.0,35.936,10548.6,77.626,12868.6,78.604,
166,sat_MD5-28-1_d,1242.8,1.279,1294.8000000000002,3.055,2059.4,2.78,
167,sat_MD5-28-1,3570.8,2.449,5587.6,4.217,6822.6,4.406,
168,sat_MD5-28-1_p,3538.0,1.098,5966.200000000001,1.8,7246.6,1.952,
169,sat_MD5-28-2_d,1434.2,1.418,1528.8000000000002,1.874,2233.8,2.824,
170,sat_MD5-28-2,3484.4,2.617,5674.0,4.284,6906.800000000001,5.525,
171,sat_MD5-28-2_p,3618.8,1.171,5574.6,1.95,7165.2,2.03,
172,sat_MD5-28-4_d,1370.8,1.432,1301.8000000000002,2.761,2221.7999999999997,3.017,
