id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
228,sat_k80_p,5074584,1186,3584,7022,0.0245931,0.0524861,0.0642321
229,sat_k85_2d,1376701,1461,4313,4171,0.019686,0.0385174,0.173833
230,sat_k85_2,5395102,3421,7102,21290,0.0450399,0.0857654,0.119741
231,sat_k85_2p,5395102,1182,2385,4733,0.0257041,0.0507141,0.0674856
232,sat_k85_3d,1376701,1063,5476,6029,0.020646,0.0377414,0.0588344
233,sat_k85_3,5395102,3421,7106,21290,0.0443563,0.0873327,0.118738
234,sat_k85_3p,5395102,1182,2385,4733,0.026018,0.0479487,0.066335
235,sat_k90_d,1458392,669,3184,6614,0.0203454,0.0379184,0.184102
236,sat_k90,5715644,1548,3739,15431,0.0348439,0.0690632,0.0956934
237,sat_k90_p,5715644,1205,3557,4835,0.0598254,0.0518319,0.106709
238,sat_k95_d,1540071,708,2857,5451,0.0206941,0.0388104,0.215867
239,sat_k95,6036162,3956,4418,15760,0.23347,0.0891555,0.311808
240,sat_k95_p,6036162,1240,3549,3624,0.0295782,0.0587731,0.078322
241,sat_slp_d,94998,1211,3595,4284,0.0128821,0.0285251,0.0358483
242,sat_slp,302862,3912,9631,18074,0.0151403,0.0282969,0.0406605
243,sat_slp_p,302862,3736,10672,17518,0.0132718,0.0246819,0.0322948
244,sat_030_d,361750,370,1029,1876,0.0138627,0.0257288,0.0368173
245,sat_030,1934720,14025,27727,46071,0.0376989,0.0965519,0.0956237
246,sat_030_p,1934720,14340,52198,49097,0.0298193,0.0414408,0.0817157
247,sat_050_d,602670,740,2099,1726,0.0190811,0.0331283,0.0460369
248,sat_050,3224280,13197,53825,55293,0.0475665,0.110418,0.143603
249,sat_050_p,3224280,13684,51061,61631,0.0394681,0.064168,0.106332
250,sat_UCG-10p0_d,199304,1257,5259,4862,0.00895056,0.0170553,0.0412866
251,sat_UCG-10p0,1005834,4146,10767,17767,0.0175909,0.0307219,0.0399586
252,sat_UCG-10p0_p,1005834,9318,16145,22203,0.0149749,0.0274651,0.0463176
253,sat_UCG-10p1_d,200003,1880,6905,7129,0.00809024,0.0349918,0.0206606
254,sat_UCG-10p1,1019221,4923,22109,21307,0.0182453,0.0257522,0.0409445
255,sat_UCG-10p1_p,1019221,7742,21305,21658,0.0140069,0.0228383,0.0352729
256,sat_UCG-5p0_d,224587,2314,5974,6611,0.0102915,0.0552439,0.0434865
257,sat_UCG-5p0,1190673,10114,19242,22210,0.019966,0.0350385,0.0469191
258,sat_UCG-5p0_p,1190673,9083,20459,23681,0.0185374,0.0329025,0.0437782
259,sat_UR-15_d,199996,2968,5415,6987,0.00948965,0.0163391,0.0409549
