id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
184,sat_min_d,249327,1924,6093,11328,0.0124119,0.0264309,0.0497495
185,sat_min,746444,4034,29144,40203,0.0193875,0.0413766,0.0606862
186,sat_min_p,746444,4753,34540,44676,0.0151621,0.0306343,0.0378953
187,sat_p30_d,324116,3509,4252,12466,0.0109191,0.0367863,0.0330505
188,sat_p30,1643601,5379,8940,19337,0.0257938,0.0458844,0.0673316
189,sat_p30_p,1643601,4284,26003,17238,0.0132814,0.0291612,0.032223
190,sat_p30_NOT_d,95456,1840,3624,3923,0.00845443,0.0182033,0.0221301
191,sat_p30_NOT,483561,3873,7811,11735,0.0117562,0.0293356,0.0405515
192,sat_p30_NOT_p,483561,4350,30832,13581,0.00506704,0.00970947,0.0191385
193,sat_non_p30_d,324116,3509,4252,12466,0.0110541,0.0379583,0.0337294
194,sat_non_p30,1643601,5379,8940,19337,0.0266321,0.0465085,0.0680603
195,sat_non_p30_p,1643601,4284,26003,17238,0.0133543,0.0295465,0.0325889
196,sat_post_d,276895,821,1423,1955,0.0198783,0.0344249,0.0472462
197,sat_post,1607567,5236,6493,14107,0.0301087,0.0444457,0.0771224
198,sat_post_p,1607567,1983,7466,4886,0.0226747,0.0432428,0.0591732
199,sat_post-ee_d,266199,349,724,1084,0.0189551,0.0324176,0.0375463
200,sat_post-ee,1575975,4820,4723,6462,0.0173932,0.0274053,0.0516627
201,sat_post-ee_p,1575975,2470,2900,4730,0.0114035,0.0205927,0.0291695
202,sat_L100_d,315617,500,2286,2791,1.0341,1.05609,1.04694
203,sat_L100,1522583,63207,156916,263510,0.0600731,0.145001,0.174864
204,sat_L100_p,1522583,76911,155502,181716,0.0525776,0.0728911,0.118977
205,sat_L150_d,486992,2142,2888,4947,2.2574,2.44371,2.46221
206,sat_L150,2456708,121741,189453,256302,0.0537261,0.140397,0.453505
207,sat_L150_p,2456708,182673,258778,316389,0.142116,0.0958513,0.228492
208,sat_L200_d,670867,608,3954,4544,3.87717,3.89105,3.89737
209,sat_L200,3513333,166731,315631,394223,0.0869478,0.226602,0.297394
210,sat_L200_p,3513333,145077,318292,414424,0.0629304,0.106834,0.242174
211,sat_L80_d,250567,465,2018,2407,0.707419,0.712312,0.720362
212,sat_L80,1183233,84188,108954,162996,0.162623,0.140327,0.218186
213,sat_L80_p,1183233,61474,124830,142953,0.048686,0.0662794,0.114486
214,sat_k100_1d,1621762,674,2511,4521,0.0269389,0.048586,0.0660982
215,sat_k100_1,6356704,1365,5577,7598,0.0540543,0.10011,0.129255
216,sat_k100_1p,6356704,1202,3604,9403,0.256367,0.0740165,0.307722
217,sat_k100_2d,1621756,1264,2391,2863,0.0293274,0.0562146,0.0699881
