id,dataset,cutk2,extimek2,cutk3,extimek3,cutk4,extimek4,hedges
306,circuit,1478,1.283,2872,2.05,3173,1.614,12127
307,ckt,116,2.679,219,5.124,582,6.141,49702
308,cnr,1899,111.199,855,175.158,2297,246.499,247501
309,conf5_4,0,6.973,12288,10.632,12288,12.217,49152
310,copter,930,2.277,1652,4.419,1982,4.483,17222
311,coupled,1715,1.624,2312,3.002,2906,2.86,11341
312,crash,1704,14.288,2640,23.193,3184,24.245,160000
313,cryg,200,0.356,269,0.72,370,0.812,10000
314,crystk,798,1.908,1596,2.611,2310,3.133,13965
315,d_pretok,2074,30.309,4034,47.714,5506,61.558,182730
316,dac11,1187,101.686,2179,212.637,3307,252.371,935731
317,dac14,3953,126.708,5461,158.173,7589,192.393,619815
318,dac16,7002,108.302,9393,142.49,12013,184.607,697458
319,dac2,3296,139.087,4572,353.187,6113,404.24,990899
320,dac3,3058,79.354,4727,241.418,7809,212.441,898001
321,dac6,2787,150.6,5567,189.011,7008,213.852,1006629
322,dac7,1803,187.281,3877,241.713,5992,377.361,1340418
323,delta,615,3.958,4782,7.317,4846,7.479,68600
324,denormal,1192,9.012,1608,14.009,2166,22.076,89400
325,dict,2169,4.687,2288,10.081,3825,10.65,39327
326,diel,2512,334.662,5510,512.983,12034,562.912,607232
327,cova2,765,7.462,1236,13.081,1521,15.635,65025
328,ecl32,1831,7.139,3309,18.223,4187,15.404,51993
329,Emilia,20286,644.631,41313,1038.708,49956,947.107,923136
330,epb1,209,0.678,413,1.273,521,1.431,14734
331,ESOC,153352,132.059,202528,329.918,232822,222.386,327062
332,Eternity,5176,1.956,3168,7.385,2404,9.18,7362
333,ex19,0,0.932,171,1.617,117,1.873,12005
334,F2,888,13.003,2805,25.24,3213,26.601,71505
335,fd18,140,0.572,290,1.34,430,1.431,16428
336,fem,2822,28.96,3552,29.505,5723,48.262,74062
337,finan,147,6.704,220,10.415,293,11.335,74752
338,flower,4334,14.263,6175,24.957,7192,26.378,27693
339,foldoc,6107,4.106,7685,8.785,8095,7.685,13356
340,Franz,19000,24.158,27240,28.654,32690,36.118,47104
341,G2,780,8.839,1196,15.925,1404,16.279,150102
342,g7jac,720,0.723,1031,1.54,1293,1.844,11790
343,garon,542,1.335,849,2.864,1258,2.475,13535
344,gearbox,272,21.857,2332,37.062,2432,31.607,153746
345,gemat,35,0.244,51,0.432,69,0.532,4929
346,graphics,414,0.427,570,0.75,774,0.725,29493
347,gyro,117,2.327,378,2.591,537,3.576,17361
348,H2O,11438,73.528,17786,97.441,21319,114.926,67024
